#;MsgType;Timestamp;Lat;Lon;SpeedKnots;SpeedKmph;TrueHeading;MagnHeading
136;GSA;;;;;;;
137;GSV;;;;;;;
138;GSV;;;;;;;
139;;;;;;;;NMEA message parser not found for GRM.
140;RMC;12/26/2016 9:41:23 PM;49.2097589;16.5985935333333;;;;
141;;;;;;;;NMEA message parser not found for RMB.
142;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
143;GSA;;;;;;;
144;GSV;;;;;;;
145;GSV;;;;;;;
146;;;;;;;;NMEA message parser not found for GRM.
147;RMC;12/26/2016 9:41:24 PM;49.20975615;16.5985839;;;;
148;;;;;;;;NMEA message parser not found for RMB.
149;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
150;GSA;;;;;;;
151;GSV;;;;;;;
152;GSV;;;;;;;
153;;;;;;;;NMEA message parser not found for GRM.
154;RMC;12/26/2016 9:41:25 PM;49.2097534;16.5985742833333;;;;
155;;;;;;;;NMEA message parser not found for RMB.
156;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
157;GSA;;;;;;;
158;GSV;;;;;;;
159;GSV;;;;;;;
160;;;;;;;;NMEA message parser not found for GRM.
161;RMC;12/26/2016 9:41:26 PM;49.2097506333333;16.5985646666667;;;;
162;;;;;;;;NMEA message parser not found for RMB.
163;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
164;GSA;;;;;;;
165;GSV;;;;;;;
166;GSV;;;;;;;
167;;;;;;;;NMEA message parser not found for GRM.
168;RMC;12/26/2016 9:41:27 PM;49.2097478833333;16.5985550333333;;;;
169;;;;;;;;NMEA message parser not found for RMB.
170;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
171;GSA;;;;;;;
172;GSV;;;;;;;
173;GSV;;;;;;;
174;;;;;;;;NMEA message parser not found for GRM.
175;RMC;12/26/2016 9:41:28 PM;49.2097451333333;16.5985454166667;;;;
176;;;;;;;;NMEA message parser not found for RMB.
177;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
178;GSA;;;;;;;
179;GSV;;;;;;;
180;GSV;;;;;;;
181;;;;;;;;NMEA message parser not found for GRM.
182;RMC;12/26/2016 9:41:29 PM;49.2097423833333;16.5985357833333;;;;
183;;;;;;;;NMEA message parser not found for RMB.
184;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
185;GSA;;;;;;;
186;GSV;;;;;;;
187;GSV;;;;;;;
188;;;;;;;;NMEA message parser not found for GRM.
