#;MsgType;Timestamp;Lat;Lon;SpeedKnots;SpeedKmph;TrueHeading;MagnHeading
5923;;;;;;;;NMEA message parser not found for RMB.
5924;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
5925;GSA;;;;;;;
5926;GSV;;;;;;;
5927;GSV;;;;;;;
5928;;;;;;;;NMEA message parser not found for GRM.
5929;RMC;12/26/2016 9:55:10 PM;49.2092785;16.6020961666667;;;;
5930;;;;;;;;NMEA message parser not found for RMB.
5931;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
5932;GSA;;;;;;;
5933;GSV;;;;;;;
5934;GSV;;;;;;;
5935;;;;;;;;NMEA message parser not found for GRM.
5936;RMC;12/26/2016 9:55:11 PM;49.2092810666667;16.60210585;;;;
5937;;;;;;;;NMEA message parser not found for RMB.
5938;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
5939;GSA;;;;;;;
5940;GSV;;;;;;;
5941;GSV;;;;;;;
5942;;;;;;;;NMEA message parser not found for GRM.
5943;RMC;12/26/2016 9:55:12 PM;49.2092836166667;16.6021155166667;;;;
5944;;;;;;;;NMEA message parser not found for RMB.
5945;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
5946;GSA;;;;;;;
5947;GSV;;;;;;;
5948;GSV;;;;;;;
5949;;;;;;;;NMEA message parser not found for GRM.
5950;RMC;12/26/2016 9:55:13 PM;49.2092861833333;16.6021252;;;;
5951;;;;;;;;NMEA message parser not found for RMB.
5952;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
5953;GSA;;;;;;;
5954;GSV;;;;;;;
5955;GSV;;;;;;;
5956;;;;;;;;NMEA message parser not found for GRM.
5957;RMC;12/26/2016 9:55:14 PM;49.20928875;16.6021348833333;;;;
5958;;;;;;;;NMEA message parser not found for RMB.
5959;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
5960;GSA;;;;;;;
5961;GSV;;;;;;;
5962;GSV;;;;;;;
5963;;;;;;;;NMEA message parser not found for GRM.
5964;RMC;12/26/2016 9:55:15 PM;49.2092913166667;16.60214455;;;;
5965;;;;;;;;NMEA message parser not found for RMB.
5966;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
5967;GSA;;;;;;;
5968;GSV;;;;;;;
5969;GSV;;;;;;;
5970;;;;;;;;NMEA message parser not found for GRM.
5971;RMC;12/26/2016 9:55:16 PM;49.2092938833333;16.6021542333333;;;;
5972;;;;;;;;NMEA message parser not found for RMB.
5973;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
5974;GSA;;;;;;;
5975;GSV;;;;;;;
5976;GSV;;;;;;;
5977;;;;;;;;NMEA message parser not found for GRM.
5978;RMC;12/26/2016 9:55:17 PM;49.2092964333333;16.6021639;;;;
5979;;;;;;;;NMEA message parser not found for RMB.
5980;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
5981;GSA;;;;;;;
5982;GSV;;;;;;;
5983;GSV;;;;;;;
5984;;;;;;;;NMEA message parser not found for GRM.
5985;RMC;12/26/2016 9:55:18 PM;49.209299;16.6021735833333;;;;
5986;;;;;;;;NMEA message parser not found for RMB.
5987;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
5988;GSA;;;;;;;
5989;GSV;;;;;;;
5990;GSV;;;;;;;
5991;;;;;;;;NMEA message parser not found for GRM.
5992;RMC;12/26/2016 9:55:19 PM;49.2093015666667;16.60218325;;;;
5993;;;;;;;;NMEA message parser not found for RMB.
5994;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
5995;GSA;;;;;;;
5996;GSV;;;;;;;
5997;GSV;;;;;;;
5998;;;;;;;;NMEA message parser not found for GRM.
5999;RMC;12/26/2016 9:55:20 PM;49.2093041333333;16.6021929333333;;;;
6000;;;;;;;;NMEA message parser not found for RMB.
6001;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6002;GSA;;;;;;;
6003;GSV;;;;;;;
6004;GSV;;;;;;;
6005;;;;;;;;NMEA message parser not found for GRM.
6006;RMC;12/26/2016 9:55:21 PM;49.2093067;16.6022026166667;;;;
6007;;;;;;;;NMEA message parser not found for RMB.
6008;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6009;GSA;;;;;;;
6010;GSV;;;;;;;
6011;GSV;;;;;;;
6012;;;;;;;;NMEA message parser not found for GRM.
6013;RMC;12/26/2016 9:55:22 PM;49.20930925;16.6022122833333;;;;
6014;;;;;;;;NMEA message parser not found for RMB.
6015;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6016;GSA;;;;;;;
6017;GSV;;;;;;;
6018;GSV;;;;;;;
6019;;;;;;;;NMEA message parser not found for GRM.
6020;RMC;12/26/2016 9:55:23 PM;49.2093118166667;16.6022219666667;;;;
6021;;;;;;;;NMEA message parser not found for RMB.
6022;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6023;GSA;;;;;;;
6024;GSV;;;;;;;
6025;GSV;;;;;;;
6026;;;;;;;;NMEA message parser not found for GRM.
6027;RMC;12/26/2016 9:55:24 PM;49.2093143833333;16.6022316333333;;;;
6028;;;;;;;;NMEA message parser not found for RMB.
6029;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6030;GSA;;;;;;;
6031;GSV;;;;;;;
6032;GSV;;;;;;;
6033;;;;;;;;NMEA message parser not found for GRM.
6034;RMC;12/26/2016 9:55:25 PM;49.20931695;16.6022413166667;;;;
6035;;;;;;;;NMEA message parser not found for RMB.
6036;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6037;GSA;;;;;;;
6038;GSV;;;;;;;
6039;GSV;;;;;;;
6040;;;;;;;;NMEA message parser not found for GRM.
6041;RMC;12/26/2016 9:55:26 PM;49.2093195166667;16.6022509833333;;;;
6042;;;;;;;;NMEA message parser not found for RMB.
6043;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6044;GSA;;;;;;;
6045;GSV;;;;;;;
6046;GSV;;;;;;;
6047;;;;;;;;NMEA message parser not found for GRM.
6048;RMC;12/26/2016 9:55:27 PM;49.2093220666667;16.6022606666667;;;;
6049;;;;;;;;NMEA message parser not found for RMB.
6050;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6051;GSA;;;;;;;
6052;GSV;;;;;;;
6053;GSV;;;;;;;
6054;;;;;;;;NMEA message parser not found for GRM.
6055;RMC;12/26/2016 9:55:28 PM;49.2093246333333;16.60227035;;;;
6056;;;;;;;;NMEA message parser not found for RMB.
6057;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6058;GSA;;;;;;;
6059;GSV;;;;;;;
6060;GSV;;;;;;;
6061;;;;;;;;NMEA message parser not found for GRM.
6062;RMC;12/26/2016 9:55:29 PM;49.2093272;16.6022800166667;;;;
6063;;;;;;;;NMEA message parser not found for RMB.
6064;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6065;GSA;;;;;;;
6066;GSV;;;;;;;
6067;GSV;;;;;;;
6068;;;;;;;;NMEA message parser not found for GRM.
6069;RMC;12/26/2016 9:55:30 PM;49.2093297666667;16.6022897;;;;
6070;;;;;;;;NMEA message parser not found for RMB.
6071;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6072;GSA;;;;;;;
6073;GSV;;;;;;;
6074;GSV;;;;;;;
6075;;;;;;;;NMEA message parser not found for GRM.
6076;RMC;12/26/2016 9:55:31 PM;49.2093323333333;16.6022993666667;;;;
6077;;;;;;;;NMEA message parser not found for RMB.
6078;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6079;GSA;;;;;;;
6080;GSV;;;;;;;
6081;GSV;;;;;;;
6082;;;;;;;;NMEA message parser not found for GRM.
6083;RMC;12/26/2016 9:55:32 PM;49.2093348833333;16.60230905;;;;
6084;;;;;;;;NMEA message parser not found for RMB.
6085;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6086;GSA;;;;;;;
6087;GSV;;;;;;;
6088;GSV;;;;;;;
6089;;;;;;;;NMEA message parser not found for GRM.
6090;RMC;12/26/2016 9:55:33 PM;49.20933745;16.6023187166667;;;;
6091;;;;;;;;NMEA message parser not found for RMB.
6092;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6093;GSA;;;;;;;
6094;GSV;;;;;;;
6095;GSV;;;;;;;
6096;;;;;;;;NMEA message parser not found for GRM.
6097;RMC;12/26/2016 9:55:34 PM;49.2093400166667;16.6023284;;;;
6098;;;;;;;;NMEA message parser not found for RMB.
6099;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6100;GSA;;;;;;;
6101;GSV;;;;;;;
6102;GSV;;;;;;;
6103;;;;;;;;NMEA message parser not found for GRM.
6104;RMC;12/26/2016 9:55:35 PM;49.2093425833333;16.6023380833333;;;;
6105;;;;;;;;NMEA message parser not found for RMB.
6106;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6107;GSA;;;;;;;
6108;GSV;;;;;;;
6109;GSV;;;;;;;
6110;;;;;;;;NMEA message parser not found for GRM.
6111;RMC;12/26/2016 9:55:36 PM;49.20934515;16.60234775;;;;
6112;;;;;;;;NMEA message parser not found for RMB.
6113;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6114;GSA;;;;;;;
6115;GSV;;;;;;;
6116;GSV;;;;;;;
6117;;;;;;;;NMEA message parser not found for GRM.
6118;RMC;12/26/2016 9:55:37 PM;49.2093477;16.6023574333333;;;;
6119;;;;;;;;NMEA message parser not found for RMB.
6120;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6121;GSA;;;;;;;
6122;GSV;;;;;;;
6123;GSV;;;;;;;
6124;;;;;;;;NMEA message parser not found for GRM.
6125;RMC;12/26/2016 9:55:38 PM;49.2093502666667;16.6023671;;;;
6126;;;;;;;;NMEA message parser not found for RMB.
6127;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6128;GSA;;;;;;;
6129;GSV;;;;;;;
6130;GSV;;;;;;;
6131;;;;;;;;NMEA message parser not found for GRM.
6132;RMC;12/26/2016 9:55:39 PM;49.2093528333333;16.6023767833333;;;;
6133;;;;;;;;NMEA message parser not found for RMB.
6134;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6135;GSA;;;;;;;
6136;GSV;;;;;;;
6137;GSV;;;;;;;
6138;;;;;;;;NMEA message parser not found for GRM.
6139;RMC;12/26/2016 9:55:40 PM;49.2093554;16.6023864666667;;;;
6140;;;;;;;;NMEA message parser not found for RMB.
6141;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6142;GSA;;;;;;;
6143;GSV;;;;;;;
6144;GSV;;;;;;;
6145;;;;;;;;NMEA message parser not found for GRM.
6146;RMC;12/26/2016 9:55:41 PM;49.2093579666667;16.6023961333333;;;;
6147;;;;;;;;NMEA message parser not found for RMB.
6148;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6149;GSA;;;;;;;
6150;GSV;;;;;;;
6151;GSV;;;;;;;
6152;;;;;;;;NMEA message parser not found for GRM.
6153;RMC;12/26/2016 9:55:42 PM;49.2093605166667;16.6024058166667;;;;
6154;;;;;;;;NMEA message parser not found for RMB.
6155;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6156;GSA;;;;;;;
6157;GSV;;;;;;;
6158;GSV;;;;;;;
6159;;;;;;;;NMEA message parser not found for GRM.
6160;RMC;12/26/2016 9:55:43 PM;49.2093630833333;16.6024154833333;;;;
6161;;;;;;;;NMEA message parser not found for RMB.
6162;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6163;GSA;;;;;;;
6164;GSV;;;;;;;
6165;GSV;;;;;;;
6166;;;;;;;;NMEA message parser not found for GRM.
6167;RMC;12/26/2016 9:55:44 PM;49.20936565;16.6024251666667;;;;
6168;;;;;;;;NMEA message parser not found for RMB.
6169;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6170;GSA;;;;;;;
6171;GSV;;;;;;;
6172;GSV;;;;;;;
6173;;;;;;;;NMEA message parser not found for GRM.
6174;RMC;12/26/2016 9:55:45 PM;49.2093682166667;16.6024348333333;;;;
6175;;;;;;;;NMEA message parser not found for RMB.
6176;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6177;GSA;;;;;;;
6178;GSV;;;;;;;
6179;GSV;;;;;;;
6180;;;;;;;;NMEA message parser not found for GRM.
6181;RMC;12/26/2016 9:55:46 PM;49.2093707833333;16.6024445166667;;;;
6182;;;;;;;;NMEA message parser not found for RMB.
6183;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6184;GSA;;;;;;;
6185;GSV;;;;;;;
6186;GSV;;;;;;;
6187;;;;;;;;NMEA message parser not found for GRM.
6188;RMC;12/26/2016 9:55:47 PM;49.20937335;16.6024542;;;;
6189;;;;;;;;NMEA message parser not found for RMB.
6190;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6191;GSA;;;;;;;
6192;GSV;;;;;;;
6193;GSV;;;;;;;
6194;;;;;;;;NMEA message parser not found for GRM.
6195;RMC;12/26/2016 9:55:48 PM;49.2093759;16.6024638666667;;;;
6196;;;;;;;;NMEA message parser not found for RMB.
6197;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6198;GSA;;;;;;;
6199;GSV;;;;;;;
6200;GSV;;;;;;;
6201;;;;;;;;NMEA message parser not found for GRM.
6202;RMC;12/26/2016 9:55:49 PM;49.2093788166667;16.6024734333333;;;;
6203;;;;;;;;NMEA message parser not found for RMB.
6204;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6205;GSA;;;;;;;
6206;GSV;;;;;;;
6207;GSV;;;;;;;
6208;;;;;;;;NMEA message parser not found for GRM.
6209;RMC;12/26/2016 9:55:50 PM;49.2093820166667;16.6024829333333;;;;
6210;;;;;;;;NMEA message parser not found for RMB.
6211;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6212;GSA;;;;;;;
6213;GSV;;;;;;;
6214;GSV;;;;;;;
6215;;;;;;;;NMEA message parser not found for GRM.
6216;RMC;12/26/2016 9:55:51 PM;49.2093852;16.6024924166667;;;;
6217;;;;;;;;NMEA message parser not found for RMB.
6218;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6219;GSA;;;;;;;
6220;GSV;;;;;;;
6221;GSV;;;;;;;
6222;;;;;;;;NMEA message parser not found for GRM.
6223;RMC;12/26/2016 9:55:52 PM;49.2093883833333;16.6025019;;;;
6224;;;;;;;;NMEA message parser not found for RMB.
6225;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6226;GSA;;;;;;;
6227;GSV;;;;;;;
6228;GSV;;;;;;;
6229;;;;;;;;NMEA message parser not found for GRM.
6230;RMC;12/26/2016 9:55:53 PM;49.2093915666667;16.6025114;;;;
6231;;;;;;;;NMEA message parser not found for RMB.
6232;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6233;GSA;;;;;;;
6234;GSV;;;;;;;
6235;GSV;;;;;;;
6236;;;;;;;;NMEA message parser not found for GRM.
6237;RMC;12/26/2016 9:55:54 PM;49.20939475;16.6025208833333;;;;
6238;;;;;;;;NMEA message parser not found for RMB.
6239;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6240;GSA;;;;;;;
6241;GSV;;;;;;;
6242;GSV;;;;;;;
6243;;;;;;;;NMEA message parser not found for GRM.
6244;RMC;12/26/2016 9:55:55 PM;49.2093979333333;16.6025303833333;;;;
6245;;;;;;;;NMEA message parser not found for RMB.
6246;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6247;GSA;;;;;;;
6248;GSV;;;;;;;
6249;GSV;;;;;;;
6250;;;;;;;;NMEA message parser not found for GRM.
6251;RMC;12/26/2016 9:55:56 PM;49.2094011166667;16.6025398666667;;;;
6252;;;;;;;;NMEA message parser not found for RMB.
6253;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6254;GSA;;;;;;;
6255;GSV;;;;;;;
6256;GSV;;;;;;;
6257;;;;;;;;NMEA message parser not found for GRM.
6258;RMC;12/26/2016 9:55:57 PM;49.2094043;16.60254935;;;;
6259;;;;;;;;NMEA message parser not found for RMB.
6260;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6261;GSA;;;;;;;
6262;GSV;;;;;;;
6263;GSV;;;;;;;
6264;;;;;;;;NMEA message parser not found for GRM.
6265;RMC;12/26/2016 9:55:58 PM;49.2094074833333;16.60255885;;;;
6266;;;;;;;;NMEA message parser not found for RMB.
6267;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6268;GSA;;;;;;;
6269;GSV;;;;;;;
6270;GSV;;;;;;;
6271;;;;;;;;NMEA message parser not found for GRM.
6272;RMC;12/26/2016 9:55:59 PM;49.2094106666667;16.6025683333333;;;;
6273;;;;;;;;NMEA message parser not found for RMB.
6274;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6275;GSA;;;;;;;
6276;GSV;;;;;;;
6277;GSV;;;;;;;
6278;;;;;;;;NMEA message parser not found for GRM.
6279;RMC;12/26/2016 9:56:00 PM;49.20941385;16.6025778333333;;;;
6280;;;;;;;;NMEA message parser not found for RMB.
6281;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6282;GSA;;;;;;;
6283;GSV;;;;;;;
6284;GSV;;;;;;;
6285;;;;;;;;NMEA message parser not found for GRM.
6286;RMC;12/26/2016 9:56:01 PM;49.2094170333333;16.6025873166667;;;;
6287;;;;;;;;NMEA message parser not found for RMB.
6288;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6289;GSA;;;;;;;
6290;GSV;;;;;;;
6291;GSV;;;;;;;
6292;;;;;;;;NMEA message parser not found for GRM.
6293;RMC;12/26/2016 9:56:02 PM;49.2094202166667;16.6025968;;;;
6294;;;;;;;;NMEA message parser not found for RMB.
6295;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6296;GSA;;;;;;;
6297;GSV;;;;;;;
6298;GSV;;;;;;;
6299;;;;;;;;NMEA message parser not found for GRM.
6300;RMC;12/26/2016 9:56:03 PM;49.2094234;16.6026063;;;;
6301;;;;;;;;NMEA message parser not found for RMB.
6302;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6303;GSA;;;;;;;
6304;GSV;;;;;;;
6305;GSV;;;;;;;
6306;;;;;;;;NMEA message parser not found for GRM.
6307;RMC;12/26/2016 9:56:04 PM;49.2094265833333;16.6026157833333;;;;
6308;;;;;;;;NMEA message parser not found for RMB.
6309;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6310;GSA;;;;;;;
6311;GSV;;;;;;;
6312;GSV;;;;;;;
6313;;;;;;;;NMEA message parser not found for GRM.
6314;RMC;12/26/2016 9:56:05 PM;49.2094297666667;16.6026252833333;;;;
6315;;;;;;;;NMEA message parser not found for RMB.
6316;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6317;GSA;;;;;;;
6318;GSV;;;;;;;
6319;GSV;;;;;;;
6320;;;;;;;;NMEA message parser not found for GRM.
6321;RMC;12/26/2016 9:56:06 PM;49.2094329666667;16.6026347666667;;;;
6322;;;;;;;;NMEA message parser not found for RMB.
6323;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6324;GSA;;;;;;;
6325;GSV;;;;;;;
6326;GSV;;;;;;;
6327;;;;;;;;NMEA message parser not found for GRM.
6328;RMC;12/26/2016 9:56:07 PM;49.20943615;16.60264425;;;;
6329;;;;;;;;NMEA message parser not found for RMB.
6330;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6331;GSA;;;;;;;
6332;GSV;;;;;;;
6333;GSV;;;;;;;
6334;;;;;;;;NMEA message parser not found for GRM.
6335;RMC;12/26/2016 9:56:08 PM;49.2094393333333;16.60265375;;;;
6336;;;;;;;;NMEA message parser not found for RMB.
6337;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6338;GSA;;;;;;;
6339;GSV;;;;;;;
6340;GSV;;;;;;;
6341;;;;;;;;NMEA message parser not found for GRM.
6342;RMC;12/26/2016 9:56:09 PM;49.2094425166667;16.6026632333333;;;;
6343;;;;;;;;NMEA message parser not found for RMB.
6344;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6345;GSA;;;;;;;
6346;GSV;;;;;;;
6347;GSV;;;;;;;
6348;;;;;;;;NMEA message parser not found for GRM.
6349;RMC;12/26/2016 9:56:10 PM;49.2094457;16.6026727333333;;;;
6350;;;;;;;;NMEA message parser not found for RMB.
6351;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6352;GSA;;;;;;;
6353;GSV;;;;;;;
6354;GSV;;;;;;;
6355;;;;;;;;NMEA message parser not found for GRM.
6356;RMC;12/26/2016 9:56:11 PM;49.2094488833333;16.6026822166667;;;;
6357;;;;;;;;NMEA message parser not found for RMB.
6358;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6359;GSA;;;;;;;
6360;GSV;;;;;;;
6361;GSV;;;;;;;
6362;;;;;;;;NMEA message parser not found for GRM.
6363;RMC;12/26/2016 9:56:12 PM;49.2094520666667;16.6026917;;;;
6364;;;;;;;;NMEA message parser not found for RMB.
6365;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6366;GSA;;;;;;;
6367;GSV;;;;;;;
6368;GSV;;;;;;;
6369;;;;;;;;NMEA message parser not found for GRM.
6370;RMC;12/26/2016 9:56:13 PM;49.20945525;16.6027012;;;;
6371;;;;;;;;NMEA message parser not found for RMB.
6372;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6373;GSA;;;;;;;
6374;GSV;;;;;;;
6375;GSV;;;;;;;
6376;;;;;;;;NMEA message parser not found for GRM.
6377;RMC;12/26/2016 9:56:14 PM;49.2094584333333;16.6027106833333;;;;
6378;;;;;;;;NMEA message parser not found for RMB.
6379;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6380;GSA;;;;;;;
6381;GSV;;;;;;;
6382;GSV;;;;;;;
6383;;;;;;;;NMEA message parser not found for GRM.
6384;RMC;12/26/2016 9:56:15 PM;49.2094616166667;16.6027201833333;;;;
6385;;;;;;;;NMEA message parser not found for RMB.
6386;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6387;GSA;;;;;;;
6388;GSV;;;;;;;
6389;GSV;;;;;;;
6390;;;;;;;;NMEA message parser not found for GRM.
6391;RMC;12/26/2016 9:56:16 PM;49.2094648;16.6027296666667;;;;
6392;;;;;;;;NMEA message parser not found for RMB.
6393;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6394;GSA;;;;;;;
6395;GSV;;;;;;;
6396;GSV;;;;;;;
6397;;;;;;;;NMEA message parser not found for GRM.
6398;RMC;12/26/2016 9:56:17 PM;49.2094679833333;16.60273915;;;;
6399;;;;;;;;NMEA message parser not found for RMB.
6400;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6401;GSA;;;;;;;
6402;GSV;;;;;;;
6403;GSV;;;;;;;
6404;;;;;;;;NMEA message parser not found for GRM.
6405;RMC;12/26/2016 9:56:18 PM;49.2094711666667;16.60274865;;;;
6406;;;;;;;;NMEA message parser not found for RMB.
6407;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6408;GSA;;;;;;;
6409;GSV;;;;;;;
6410;GSV;;;;;;;
6411;;;;;;;;NMEA message parser not found for GRM.
6412;RMC;12/26/2016 9:56:19 PM;49.20947435;16.6027581333333;;;;
6413;;;;;;;;NMEA message parser not found for RMB.
6414;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6415;GSA;;;;;;;
6416;GSV;;;;;;;
6417;GSV;;;;;;;
6418;;;;;;;;NMEA message parser not found for GRM.
6419;RMC;12/26/2016 9:56:20 PM;49.2094775333333;16.6027676333333;;;;
6420;;;;;;;;NMEA message parser not found for RMB.
6421;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6422;GSA;;;;;;;
6423;GSV;;;;;;;
6424;GSV;;;;;;;
6425;;;;;;;;NMEA message parser not found for GRM.
6426;RMC;12/26/2016 9:56:21 PM;49.2094807333333;16.6027771166667;;;;
6427;;;;;;;;NMEA message parser not found for RMB.
6428;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6429;GSA;;;;;;;
6430;GSV;;;;;;;
6431;GSV;;;;;;;
6432;;;;;;;;NMEA message parser not found for GRM.
6433;RMC;12/26/2016 9:56:22 PM;49.2094839166667;16.6027866;;;;
6434;;;;;;;;NMEA message parser not found for RMB.
6435;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6436;GSA;;;;;;;
6437;GSV;;;;;;;
6438;GSV;;;;;;;
6439;;;;;;;;NMEA message parser not found for GRM.
6440;RMC;12/26/2016 9:56:23 PM;49.2094871;16.6027961;;;;
6441;;;;;;;;NMEA message parser not found for RMB.
6442;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6443;GSA;;;;;;;
6444;GSV;;;;;;;
6445;GSV;;;;;;;
6446;;;;;;;;NMEA message parser not found for GRM.
6447;RMC;12/26/2016 9:56:24 PM;49.2094902833333;16.6028055833333;;;;
6448;;;;;;;;NMEA message parser not found for RMB.
6449;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6450;GSA;;;;;;;
6451;GSV;;;;;;;
6452;GSV;;;;;;;
6453;;;;;;;;NMEA message parser not found for GRM.
6454;RMC;12/26/2016 9:56:25 PM;49.2094934666667;16.6028150833333;;;;
6455;;;;;;;;NMEA message parser not found for RMB.
6456;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6457;GSA;;;;;;;
6458;GSV;;;;;;;
6459;GSV;;;;;;;
6460;;;;;;;;NMEA message parser not found for GRM.
6461;RMC;12/26/2016 9:56:26 PM;49.20949665;16.6028245666667;;;;
6462;;;;;;;;NMEA message parser not found for RMB.
6463;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6464;GSA;;;;;;;
6465;GSV;;;;;;;
6466;GSV;;;;;;;
6467;;;;;;;;NMEA message parser not found for GRM.
6468;RMC;12/26/2016 9:56:27 PM;49.2094998333333;16.60283405;;;;
6469;;;;;;;;NMEA message parser not found for RMB.
6470;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6471;GSA;;;;;;;
6472;GSV;;;;;;;
6473;GSV;;;;;;;
6474;;;;;;;;NMEA message parser not found for GRM.
6475;RMC;12/26/2016 9:56:28 PM;49.2095030166667;16.60284355;;;;
6476;;;;;;;;NMEA message parser not found for RMB.
6477;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6478;GSA;;;;;;;
6479;GSV;;;;;;;
6480;GSV;;;;;;;
6481;;;;;;;;NMEA message parser not found for GRM.
6482;RMC;12/26/2016 9:56:29 PM;49.2095062;16.6028530333333;;;;
6483;;;;;;;;NMEA message parser not found for RMB.
6484;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6485;GSA;;;;;;;
6486;GSV;;;;;;;
6487;GSV;;;;;;;
6488;;;;;;;;NMEA message parser not found for GRM.
6489;RMC;12/26/2016 9:56:30 PM;49.2095093833333;16.6028625333333;;;;
6490;;;;;;;;NMEA message parser not found for RMB.
6491;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6492;GSA;;;;;;;
6493;GSV;;;;;;;
6494;GSV;;;;;;;
6495;;;;;;;;NMEA message parser not found for GRM.
6496;RMC;12/26/2016 9:56:31 PM;49.2095125666667;16.6028720166667;;;;
6497;;;;;;;;NMEA message parser not found for RMB.
6498;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
6499;GSA;;;;;;;
6500;GSV;;;;;;;
6501;GSV;;;;;;;
6502;;;;;;;;NMEA message parser not found for GRM.
6503;RMC;12/26/2016 9:56:32 PM;49.20951575;16.6028815;;;;
6504;;;;;;;;NMEA message parser not found for RMB.
